Name,Acronym,Starting price,Starting price (USD),Quantity,Date,Current value,Delta position,Selling value,Income,Position,Current position
Bitcoin,BTC,63700.0000,99.9453,0.001569,2020-04-13,43403.7000,0.8879,0.0000,-99.9453,-31.8449,-31.8449
Cardano,ADA,1.6868,13.4942,8.0,2021-05-11,2.0340,0.0365,0.0000,-13.4942,2.7780,2.7780
Stellar,XLM,0.6793,10.1890,15.0,2021-05-11,0.6498,0.1185,0.0000,-10.1890,-0.4424,-0.4424
Dogecoin,DOGE,0.4561,69.0990,151.51,2021-05-11,0.4776,0.3419,0.0000,-69.0990,3.2535,3.2535
Crypto,CRO,0.1589,7.2226,45.45399999999999,2021-05-11,0.1483,0.1182,0.0000,-7.2226,-0.4818,-0.4818
Eos,EOS,9.3737,37.4948,4.0,2021-05-11,9.2798,0.3376,0.0000,-37.4948,-0.3756,-0.3756
WeChain,VET,0.1999,0.0000,0.0,2021-05-13,0.1642,0.0000,0.0000,0.0000,0.0000,0.0000
